number,time,thscode,ths_bond_code_bond,ths_maturity_date_bond,ths_vol_yz_bond,ths_close_daily_settle_bond,ths_surplus_term_d_bond,ths_remain_duration_y_bond
42,2026/4/9,269907.IB,269907,"20,260,805","1,360,000,000.00",1.1799,118,0.3233
43,2026/4/10,269901.IB,269901,"20,260,708",0,1.1852,89,0.2438
44,2026/4/9,269901.IB,269901,"20,260,708","1,080,000,000.00",1.1852,90,0.2466
45,2026/4/10,260012.IB,260012,"20,330,615",--,--,"2,557",7
46,2026/4/9,260012.IB,260012,"20,330,615",--,--,"2,557",7
47,2026/4/10,260011.IB,260011,"20,290,525",--,--,"1,096",3
48,2026/4/9,260011.IB,260011,"20,290,525",--,--,"1,096",3
49,2026/4/10,260010.IB,260010,"20,360,515",--,--,"3,653",10
50,2026/4/9,260010.IB,260010,"20,360,515",--,--,"3,653",10
51,2026/4/10,260009.IB,260009,"20,270,425",--,--,365,1
52,2026/4/9,260009.IB,260009,"20,270,425",--,--,365,1
53,2026/4/10,260008.IB,260008,"20,310,415",--,--,"1,826",5
54,2026/4/9,260008.IB,260008,"20,310,415",--,--,"1,826",5
55,2026/4/10,260007.IB,260007,"20,330,325","13,626,100,000.00",1.6805,"2,541",6.9562
56,2026/4/9,260007.IB,260007,"20,330,325","11,102,720,000.00",1.6825,"2,542",6.9589
57,2026/4/10,260006.IB,260006,"20,280,315","3,676,500,000.00",1.3225,705,1.9288
58,2026/4/9,260006.IB,260006,"20,280,315","52,642,460,000.00",1.3225,706,1.9315
59,2026/4/10,260005.IB,260005,"20,360,225","32,850,070,000.00",1.81,"3,608",9.8795
60,2026/4/9,260005.IB,260005,"20,360,225","29,705,120,000.00",1.807,"3,609",9.8822
61,2026/4/10,260004.IB,260004,"20,290,225","4,488,500,000.00",1.359,"1,052",2.8795
62,2026/4/9,260004.IB,260004,"20,290,225","3,693,860,000.00",1.355,"1,053",2.8822
63,2026/4/10,260003.IB,260003,"20,310,125","5,136,010,000.00",1.535,"1,751",4.7945
64,2026/4/9,260003.IB,260003,"20,310,125","6,970,930,000.00",1.54,"1,752",4.7973
65,2026/4/10,260002.IB,260002,"20,560,115","67,937,670,000.00",2.33,"10,872",29.7671
