number,time,thscode,ths_bond_code_bond,ths_maturity_date_bond,ths_vol_yz_bond,ths_close_daily_settle_bond,ths_surplus_term_d_bond,ths_remain_duration_y_bond
164,2026/4/9,1702302.IB,1702302,"20,270,303",--,--,328,0.8986
165,2026/4/10,1702301.IB,1702301,"20,370,125",--,--,"3,943",10.7945
166,2026/4/9,1702301.IB,1702301,"20,370,125",--,--,"3,944",10.7973
167,2026/4/10,170215.IB,170215,"20,270,824",0,1.4848,501,1.3726
168,2026/4/9,170215.IB,170215,"20,270,824","50,000,000.00",1.49,502,1.3753
169,2026/4/10,170210.IB,170210,"20,270,410","3,090,000,000.00",1.4281,365,1
170,2026/4/9,170210.IB,170210,"20,270,410","2,530,000,000.00",1.4292,366,1.0027
171,2026/4/10,170202.IB,170202,"20,370,109",0,1.9176,"3,927",10.7507
172,2026/4/9,170202.IB,170202,"20,370,109","60,000,000.00",1.918,"3,928",10.7534
173,2026/4/10,1602301.IB,1602301,"20,361,027",--,--,"3,853",10.5479
174,2026/4/9,1602301.IB,1602301,"20,361,027",--,--,"3,854",10.5507
175,2026/4/10,160216.IB,160216,"20,461,104",0,2.3541,"7,513",20.5699
176,2026/4/9,160216.IB,160216,"20,461,104",0,2.3542,"7,514",20.5726
177,2026/4/10,160213.IB,160213,"20,260,825","20,000,000.00",1.3624,137,0.3753
178,2026/4/9,160213.IB,160213,"20,260,825","300,000,000.00",1.3601,138,0.3781
179,2026/4/10,160205.IB,160205,"20,360,125","50,000,000.00",1.9,"3,577",9.7945
180,2026/4/9,160205.IB,160205,"20,360,125","200,000,000.00",1.9,"3,578",9.7973
181,2026/4/10,1502201.IB,1502201,"20,650,402",--,--,"14,237",38.9781
182,2026/4/9,1502201.IB,1502201,"20,650,402",--,--,"14,238",38.9808
183,2026/4/10,140217.IB,140217,"20,290,704",0,1.5944,"1,181",3.2329
184,2026/4/9,140217.IB,140217,"20,290,704",0,1.5972,"1,182",3.2356
185,2026/4/10,1302205.IB,1302205,"20,630,801",--,--,"13,627",37.3096
186,2026/4/9,1302205.IB,1302205,"20,630,801",--,--,"13,628",37.3123
187,2026/4/10,1302204.IB,1302204,"20,630,419",--,--,"13,523",37.0247
188,2026/4/9,1302204.IB,1302204,"20,630,419",--,--,"13,524",37.0274
189,2026/4/10,1302202.IB,1302202,"20,280,602",--,--,784,2.1452
190,2026/4/9,1302202.IB,1302202,"20,280,602",--,--,785,2.1479
191,2026/4/10,120252.IB,120252,"20,621,225",0,5.5985,"13,408",36.7096
192,2026/4/9,120252.IB,120252,"20,621,225",0,5.5985,"13,409",36.7123
193,2026/4/10,120251.IB,120251,"20,421,225",0,3.8456,"6,103",16.7096
194,2026/4/9,120251.IB,120251,"20,421,225",0,3.8458,"6,104",16.7123
195,2026/4/10,1202207.IB,1202207,"20,620,928",--,--,"13,320",36.4685
196,2026/4/9,1202207.IB,1202207,"20,620,928",--,--,"13,321",36.4712
197,2026/4/10,1202204.IB,1202204,"20,620,628",--,--,"13,228",36.2164
198,2026/4/9,1202204.IB,1202204,"20,620,628",--,--,"13,229",36.2192
