number,time,thscode,ths_bond_code_bond,ths_maturity_date_bond,ths_vol_yz_bond,ths_close_daily_settle_bond,ths_surplus_term_d_bond,ths_remain_duration_y_bond
223,2026/4/13,269930.IB,269930,"20,260,717",--,--,63,0.1726
224,2026/4/13,269931.IB,269931,"20,261,119",--,--,182,0.4986
225,2026/4/13,269932.IB,269932,"20,260,820",--,--,91,0.2493
226,2026/4/13,269933.IB,269933,"20,260,702",--,--,28,0.0767
227,2026/4/13,269934.IB,269934,"20,260,903",--,--,91,0.2493
228,2026/4/13,269935.IB,269935,"20,260,813",--,--,63,0.1726
229,2026/4/13,269936.IB,269936,"20,260,910",--,--,91,0.2493
230,2026/4/13,269937.IB,269937,"20,261,217",--,--,182,0.4986
231,2026/4/13,9802.IB,9802,"20,280,818",0,7.1729,858,2.3479
,,,,,,,,
数据来源：同花顺iFinD,,,,,,,,
